order_id,order_date,customer,manufactory,product_name,segment,category,subcategory,region,zip,city,state,sales,quantity,profit
US-2019-911834,2019-01-03,Darren Powers,Message Book,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Consumer,Office Supplies,Paper,Central,77095,Houston,Texas,16.448,2,5.5512
US-2019-314619,2019-01-04,Phillina Ober,GBC,GBC Standard Plastic Binding Systems Combs,Home Office,Office Supplies,Binders,Central,60540,Naperville,Illinois,3.54,2,-5.487
US-2019-856437,2019-01-04,Phillina Ober,Avery,Avery 508,Home Office,Office Supplies,Labels,Central,60540,Naperville,Illinois,11.784,3,4.2717
US-2019-310833,2019-01-04,Phillina Ober,SAFCO,SAFCO Boltless Steel Shelving,Home Office,Office Supplies,Storage,Central,60540,Naperville,Illinois,272.736,3,-64.7748
US-2019-395383,2019-01-05,Mick Brown,Avery,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Consumer,Office Supplies,Art,East,19143,Philadelphia,Pennsylvania,19.536,3,4.884
US-2019-173636,2019-01-06,Jack O'Briant,Dixon,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Corporate,Office Supplies,Art,South,30605,Athens,Georgia,12.78,3,5.2398
US-2019-376983,2019-01-06,Lycoris Saunders,Xerox,Xerox 225,Consumer,Office Supplies,Paper,West,90049,Los Angeles,California,19.44,3,9.3312
US-2019-301962,2019-01-06,Maria Etezadi,Global,Global Deluxe High-Back Manager's Chair,Home Office,Furniture,Chairs,South,42420,Henderson,Kentucky,2573.82,9,746.4078
US-2019-305560,2019-01-06,Maria Etezadi,Rogers,Rogers Handheld Barrel Pencil Sharpener,Home Office,Office Supplies,Art,South,42420,Henderson,Kentucky,5.48,2,1.4796
US-2019-808332,2019-01-06,Maria Etezadi,Ibico,Ibico Hi-Tech Manual Binding System,Home Office,Office Supplies,Binders,South,42420,Henderson,Kentucky,609.98,2,274.491
US-2019-258038,2019-01-06,Maria Etezadi,Alliance,"Alliance Super-Size Bands, Assorted Sizes",Home Office,Office Supplies,Paper,South,42420,Henderson,Kentucky,31.12,4,0.3112
US-2019-520448,2019-01-06,Maria Etezadi,Southworth,Southworth 25% Cotton Granite Paper & Envelopes,Home Office,Office Supplies,Paper,South,42420,Henderson,Kentucky,6.54,1,3.0084
US-2019-129695,2019-01-06,Maria Etezadi,Other,Wireless Extenders zBoost YX545 SOHO Signal Booster,Home Office,Technology,Phones,South,42420,Henderson,Kentucky,755.96,4,204.1092
US-2019-865148,2019-01-06,Maria Etezadi,GE,GE 30524EE4,Home Office,Technology,Phones,South,42420,Henderson,Kentucky,391.98,2,113.6742
US-2019-216522,2019-01-07,Vivek Sundaresam,Howard Miller,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Consumer,Furniture,Furnishings,Central,77340,Huntsville,Texas,76.728,3,-53.7096
